2.719		0.126316
2.757		0.242105
2.795		0.173684
2.833		0.231579
2.871		0.3
2.909		0.347368
2.947		0.415789
2.985		0.531579
3.023		0.447368
3.061		0.531579
3.099		0.610526
3.137		0.642105
3.175		0.705263
3.213		0.642105
3.251		0.778947
3.289		0.815789
3.327		0.931579
3.365		0.9
3.403		1.02105
3.441		0.989474
3.479		1.02105
3.517		1.06316
3.555		1.12632
3.593		0.989474
3.631		1.00526
3.669		0.805263
3.707		0.794737
3.745		0.8
3.783		0.805263
3.821		0.794737
3.859		0.652632
3.897		0.457895
3.935		0.573684
3.973		0.452632
4.011		0.5
4.049		0.421053
4.087		0.342105
4.125		0.326316
4.163		0.278947
4.201		0.215789
4.239		0.152632
4.277		0.157895
4.315		0.121053
4.353		0.105263
4.391		0.1
4.429		0.0842105
4.467		0.0421053
4.505		0.0210526
4.543		0.0473684
4.581		0.0263158
