2.719		0.163158
2.757		0.157895
2.795		0.2
2.833		0.210526
2.871		0.331579
2.909		0.342105
2.947		0.357895
2.985		0.463158
3.023		0.484211
3.061		0.573684
3.099		0.657895
3.137		0.589474
3.175		0.747368
3.213		0.794737
3.251		0.905263
3.289		0.947368
3.327		0.857895
3.365		0.952632
3.403		0.873684
3.441		1.08421
3.479		1.01579
3.517		0.957895
3.555		1.09474
3.593		0.936842
3.631		1.01053
3.669		0.878947
3.707		0.8
3.745		0.805263
3.783		0.815789
3.821		0.657895
3.859		0.642105
3.897		0.536842
3.935		0.547368
3.973		0.526316
4.011		0.457895
4.049		0.378947
4.087		0.410526
4.125		0.273684
4.163		0.231579
4.201		0.157895
4.239		0.184211
4.277		0.152632
4.315		0.136842
4.353		0.0789474
4.391		0.126316
4.429		0.0894737
4.467		0.0526316
4.505		0.0157895
4.543		0.0263158
4.581		0.0105263
